@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
210,9,3,637,207,0.754739,0.75,0.013932,0.75,0.986068,0.027356,0.754673,0.993808,0
211,9,3,636,208,0.753555,0.75,0.013953,0.75,0.986047,0.027397,0.753505,0.995349,0
212,9,3,635,209,0.75237,0.75,0.013975,0.75,0.986025,0.027439,0.752336,0.996894,0
213,9,3,634,210,0.751185,0.75,0.013997,0.75,0.986003,0.027481,0.751168,0.998445,0
214,9,3,633,211,0.75,0.75,0.014019,0.75,0.985981,0.027523,0.75,1,0
215,9,3,632,212,0.748815,0.75,0.014041,0.75,0.985959,0.027565,0.748832,1.00156,0
216,9,3,631,213,0.74763,0.75,0.014063,0.75,0.985938,0.027607,0.747664,1.003125,0
217,9,3,630,214,0.746445,0.75,0.014085,0.75,0.985915,0.02765,0.746495,1.004695,0
218,9,3,629,215,0.745261,0.75,0.014107,0.75,0.985893,0.027692,0.745327,1.00627,0
219,9,3,628,216,0.744076,0.75,0.014129,0.75,0.985871,0.027735,0.744159,1.007849,0
220,9,3,627,217,0.742891,0.75,0.014151,0.75,0.985849,0.027778,0.742991,1.009434,0
221,9,3,626,218,0.741706,0.75,0.014173,0.75,0.985827,0.027821,0.741822,1.011024,0
222,9,3,625,219,0.740521,0.75,0.014196,0.75,0.985804,0.027864,0.740654,1.012618,0
223,9,3,624,220,0.739336,0.75,0.014218,0.75,0.985782,0.027907,0.739486,1.014218,0
224,9,3,623,221,0.738152,0.75,0.014241,0.75,0.985759,0.02795,0.738318,1.015823,0
225,9,3,622,222,0.736967,0.75,0.014263,0.75,0.985737,0.027994,0.73715,1.017433,0
226,9,3,621,223,0.735782,0.75,0.014286,0.75,0.985714,0.028037,0.735981,1.019048,0
227,9,3,620,224,0.734597,0.75,0.014308,0.75,0.985692,0.028081,0.734813,1.020668,0
228,9,3,619,225,0.733412,0.75,0.014331,0.75,0.985669,0.028125,0.733645,1.022293,0
229,9,3,618,226,0.732227,0.75,0.014354,0.75,0.985646,0.028169,0.732477,1.023923,0
230,9,3,617,227,0.731043,0.75,0.014377,0.75,0.985623,0.028213,0.731308,1.025559,0
231,8,4,617,227,0.731043,0.666667,0.0128,0.666667,0.9872,0.025118,0.73014,0.913067,0
232,8,4,616,228,0.729858,0.666667,0.012821,0.666667,0.987179,0.025157,0.728972,0.91453,0
233,8,4,615,229,0.728673,0.666667,0.012841,0.666667,0.987159,0.025197,0.727804,0.915998,0
234,8,4,614,230,0.727488,0.666667,0.012862,0.666667,0.987138,0.025237,0.726636,0.917471,0
235,8,4,613,231,0.726303,0.666667,0.012882,0.666667,0.987118,0.025276,0.725467,0.918948,0
236,8,4,612,232,0.725118,0.666667,0.012903,0.666667,0.987097,0.025316,0.724299,0.92043,0
237,8,4,611,233,0.723934,0.666667,0.012924,0.666667,0.987076,0.025357,0.723131,0.921917,0
238,8,4,610,234,0.722749,0.666667,0.012945,0.666667,0.987055,0.025397,0.721963,0.923409,0
239,8,4,609,235,0.721564,0.666667,0.012966,0.666667,0.987034,0.025437,0.720794,0.924905,0
240,8,4,608,236,0.720379,0.666667,0.012987,0.666667,0.987013,0.025478,0.719626,0.926407,0
241,8,4,607,237,0.719194,0.666667,0.013008,0.666667,0.986992,0.025518,0.718458,0.927913,0
242,8,4,606,238,0.718009,0.666667,0.013029,0.666667,0.986971,0.025559,0.71729,0.929425,0
